rank,candidate_id,name,career_stage,years_experience,location,expected_ctc_lpa,notice_period_days,skill_match_score,semantic_skill_score,required_skills_matched,matched_skills,experience_score,yoe_score,prestige_score,platform_score,github_score,linkedin_score,education_score,college_tier,cgpa,behavioral_score,fit_score,semantic_profile_score,rule_based_score,composite_score,ranking_method
240,CAND_0073,Candidate_73,junior,2,Hyderabad,55.8,0,26.92,53.69,1/8,python,77.0,80,80.0,32.57,35.8,27.7,69.69,NIT,8.9,43.91,68.94,51.08,49.13,49.81,hybrid (tfidf)
241,CAND_0406,Candidate_406,mid,2,Kolkata,49.8,0,27.11,54.23,1/8,python,77.0,80,80.0,15.15,4.2,31.6,76.54,IIT,8.64,41.15,96.25,50.92,49.19,49.8,hybrid (tfidf)
242,CAND_0142,Candidate_142,junior,1,Ahmedabad,22.6,30,21.32,53.94,0/8,,50.25,60,45.0,54.19,28.2,93.1,69.17,IIT,6.6,52.7,96.25,51.1,49.02,49.75,hybrid (tfidf)
243,CAND_0329,Candidate_329,mid,4,Hyderabad,28.7,15,29.35,53.69,1/8,nlp,74.05,100,43.0,23.93,33.7,9.3,55.8,NIT,7.51,53.59,87.5,50.83,49.09,49.7,hybrid (tfidf)
244,CAND_0181,Candidate_181,mid,5,Bangalore,29.4,60,26.92,53.7,1/8,sql,83.65,100,64.0,23.81,36.2,5.3,29.71,Tier-3,6.16,52.13,100.0,51.04,48.95,49.68,hybrid (tfidf)
245,CAND_0443,Candidate_443,mid,2,Delhi,34.1,90,26.71,53.1,1/8,python,64.75,80,45.0,35.73,33.8,38.6,71.99,NIT,9.73,57.36,75.25,50.61,49.15,49.66,hybrid (tfidf)
246,CAND_0076,Candidate_76,mid,5,Mumbai,8.2,60,29.24,53.36,1/8,python,77.0,100,45.0,20.01,10.0,35.0,52.7,NIT,6.57,63.1,80.25,51.0,48.92,49.65,hybrid (tfidf)
247,CAND_0032,Candidate_32,junior,0,Kolkata,20.2,60,21.02,53.08,0/8,,34.5,40,20.0,55.86,31.1,93.0,66.98,NIT,7.5,87.7,96.25,50.75,49.04,49.64,hybrid (tfidf)
248,CAND_0465,Candidate_465,junior,2,Remote,7.6,30,37.67,54.23,2/8,"python, ml",67.95,80,67.0,18.55,10.0,31.4,71.95,NIT,9.21,38.55,80.25,51.39,48.66,49.62,hybrid (tfidf)
249,CAND_0220,Candidate_220,junior,1,Chennai,46.9,90,24.28,55.43,0/8,,62.5,60,80.0,49.28,74.1,12.0,65.68,IIT,7.15,48.65,75.25,51.0,48.86,49.61,hybrid (tfidf)
250,CAND_0357,Candidate_357,senior,10,Pune,48.9,15,29.13,53.06,1/8,python,73.02,85,65.8,17.14,14.5,21.1,75.45,NIT,9.69,37.28,96.25,51.04,48.79,49.58,hybrid (tfidf)
251,CAND_0392,Candidate_392,junior,2,Hyderabad,16.7,60,29.96,53.1,2/8,"python, ml",64.75,80,45.0,20.72,12.4,33.2,68.95,IIT,6.57,59.6,89.65,50.97,48.78,49.55,hybrid (tfidf)
252,CAND_0159,Candidate_159,junior,1,Kolkata,57.7,30,23.67,53.7,0/8,,50.25,60,45.0,58.07,36.8,90.0,67.24,NIT,8.05,61.34,71.61,51.24,48.63,49.54,hybrid (tfidf)
253,CAND_0149,Candidate_149,mid,4,Bangalore,4.7,0,26.29,51.89,1/8,python,82.45,100,67.0,21.33,16.0,29.4,62.79,NIT,7.44,39.95,84.0,51.3,48.54,49.51,hybrid (tfidf)
254,CAND_0295,Candidate_295,junior,2,Mumbai,8.9,60,20.77,52.37,0/8,,84.0,80,100.0,18.34,12.7,26.9,77.38,NIT,9.44,50.5,80.25,50.78,48.83,49.51,hybrid (tfidf)
255,CAND_0042,Candidate_42,mid,2,Delhi,7.7,0,26.85,53.5,1/8,sql,64.75,80,45.0,24.06,14.4,38.6,76.83,BITS,8.68,62.02,80.25,51.25,48.54,49.49,hybrid (tfidf)
256,CAND_0425,Candidate_425,junior,0,Mumbai,48.1,15,30.74,55.33,2/8,"nlp, sql",34.5,40,20.0,61.4,35.7,100.0,60.79,IIT,6.48,51.18,96.25,50.92,48.69,49.47,hybrid (tfidf)
257,CAND_0227,Candidate_227,junior,2,Mumbai,24.3,0,20.77,52.39,0/8,,84.0,80,100.0,18.53,12.4,27.7,60.76,BITS,6.99,50.75,96.25,50.59,48.82,49.44,hybrid (tfidf)
258,CAND_0033,Candidate_33,mid,3,Hyderabad,46.6,15,23.19,50.0,1/8,ml,98.5,100,100.0,17.67,15.0,21.7,51.58,Tier-3,9.16,31.33,87.5,50.49,48.85,49.42,hybrid (tfidf)
259,CAND_0488,Candidate_488,mid,5,Bangalore,10.2,30,20.31,51.06,0/8,,83.65,100,64.0,20.45,10.0,36.1,68.19,IIT,6.98,51.3,84.0,50.74,48.53,49.3,hybrid (tfidf)
260,CAND_0309,Candidate_309,junior,0,Pune,51.7,0,29.28,51.16,2/8,"ml, nlp",34.5,40,20.0,56.52,36.8,86.2,66.77,BITS,7.3,60.83,90.81,50.93,48.39,49.28,hybrid (tfidf)
261,CAND_0134,Candidate_134,senior,8,Delhi,55.5,90,33.53,58.66,1/8,sql,76.75,95,49.3,19.6,11.0,32.6,57.26,Tier-3,8.91,61.83,57.65,51.37,48.15,49.27,hybrid (tfidf)
262,CAND_0223,Candidate_223,junior,2,Chennai,9.7,90,21.26,53.77,0/8,,64.75,80,45.0,59.05,82.5,23.8,52.21,Tier-3,9.76,60.21,59.25,50.77,48.42,49.24,hybrid (tfidf)
263,CAND_0228,Candidate_228,mid,3,Delhi,7.0,30,23.59,51.16,1/8,ml,98.5,100,100.0,9.96,12.0,6.9,57.58,BITS,6.04,40.4,80.25,50.8,48.36,49.22,hybrid (tfidf)
264,CAND_0269,Candidate_269,junior,2,Mumbai,36.5,0,25.01,57.52,0/8,,63.0,80,40.0,30.95,36.3,22.9,69.25,IIT,7.64,47.87,96.25,50.95,48.27,49.21,hybrid (tfidf)
265,CAND_0206,Candidate_206,mid,4,Kolkata,15.7,60,29.35,53.69,1/8,python,84.9,100,74.0,11.99,17.6,3.5,70.43,BITS,8.83,29.17,87.65,50.74,48.37,49.2,hybrid (tfidf)
266,CAND_0342,Candidate_342,senior,6,Bangalore,22.6,0,30.11,55.86,1/8,python,79.25,100,45.0,21.69,33.7,3.7,29.93,Tier-3,6.19,46.35,100.0,51.41,48.0,49.19,hybrid (tfidf)
267,CAND_0001,Candidate_1,junior,0,Chennai,9.4,60,35.74,53.36,3/8,"python, ml, sql",34.5,40,20.0,57.91,37.8,88.0,52.41,NIT,6.53,71.71,71.5,50.74,48.3,49.15,hybrid (tfidf)
268,CAND_0427,Candidate_427,junior,1,Delhi,17.8,30,32.79,54.23,2/8,"ml, sql",50.25,60,45.0,35.85,33.5,39.4,53.35,NIT,6.66,61.82,91.85,51.13,48.05,49.13,hybrid (tfidf)
269,CAND_0163,Candidate_163,mid,4,Ahmedabad,50.7,30,20.77,52.39,0/8,,80.0,100,68.6,20.41,10.0,36.0,84.34,BITS,9.71,38.7,85.26,50.56,48.33,49.11,hybrid (tfidf)
270,CAND_0369,Candidate_369,junior,1,Bangalore,25.7,90,20.45,51.47,0/8,,57.25,60,65.0,46.0,10.0,100.0,69.51,NIT,9.39,62.5,79.0,50.83,48.11,49.06,hybrid (tfidf)
271,CAND_0187,Candidate_187,mid,4,Hyderabad,60.0,0,32.08,52.18,2/8,"ml, nlp",93.0,100,80.0,10.64,10.0,11.6,65.27,NIT,7.78,39.05,55.5,51.04,47.98,49.05,hybrid (tfidf)
272,CAND_0239,Candidate_239,mid,2,Remote,10.9,90,32.87,54.46,2/8,"python, sql",77.0,80,80.0,16.73,11.5,24.6,77.42,IIT,8.76,45.65,59.25,50.9,48.04,49.04,hybrid (tfidf)
273,CAND_0225,Candidate_225,senior,8,Remote,13.6,90,25.92,50.83,1/8,ml,86.06,95,84.4,35.37,10.0,73.4,32.38,Tier-3,7.04,65.0,53.7,50.59,48.18,49.03,hybrid (tfidf)
274,CAND_0440,Candidate_440,mid,4,Pune,35.3,90,32.6,53.69,2/8,"ml, nlp",73.0,100,40.0,22.18,32.9,6.1,48.59,Tier-2,6.35,55.04,75.25,51.34,47.72,48.99,hybrid (tfidf)
275,CAND_0461,Candidate_461,senior,6,Delhi,41.2,90,25.93,50.87,1/8,ml,81.0,100,50.0,15.41,7.8,26.8,57.43,Tier-2,8.59,62.89,75.25,50.89,47.93,48.97,hybrid (tfidf)
276,CAND_0051,Candidate_51,mid,4,Delhi,28.7,90,29.29,53.5,1/8,nlp,81.4,100,64.0,21.67,31.9,6.3,61.47,Tier-2,8.63,45.02,66.5,50.83,47.89,48.92,hybrid (tfidf)
277,CAND_0201,Candidate_201,senior,12,Pune,47.4,90,32.32,52.89,2/8,"python, nlp",69.25,75,65.0,21.8,10.0,39.5,30.36,Tier-3,6.25,81.8,75.25,51.11,47.6,48.83,hybrid (tfidf)
278,CAND_0067,Candidate_67,junior,1,Mumbai,47.4,30,23.95,52.18,1/8,python,48.5,60,40.0,38.13,34.6,43.5,64.91,BITS,6.53,69.23,96.25,50.79,47.76,48.82,hybrid (tfidf)
279,CAND_0071,Candidate_71,junior,0,Mumbai,46.1,15,27.41,55.09,1/8,sql,34.5,40,20.0,48.78,14.6,100.0,64.97,Tier-2,9.11,66.97,96.25,51.39,47.41,48.8,hybrid (tfidf)
280,CAND_0161,Candidate_161,junior,0,Remote,40.2,30,18.58,53.08,0/8,,34.5,40,20.0,60.67,40.8,90.5,65.96,IIT,6.16,72.82,96.25,50.75,47.59,48.69,hybrid (tfidf)
281,CAND_0484,Candidate_484,fresher,0,Chennai,4.9,30,29.67,54.6,1/8,ml,34.5,40,20.0,49.9,31.3,77.8,63.38,NIT,7.52,74.42,80.25,51.0,47.28,48.58,hybrid (tfidf)
282,CAND_0208,Candidate_208,mid,5,Ahmedabad,6.2,90,23.95,52.18,1/8,sql,85.25,100,79.3,19.45,10.0,33.6,52.91,Tier-2,7.97,67.2,59.25,50.77,47.38,48.56,hybrid (tfidf)
283,CAND_0293,Candidate_293,junior,2,Remote,21.4,90,20.45,51.47,0/8,,66.9,80,64.0,39.72,14.1,78.1,78.76,NIT,9.63,49.51,66.5,50.52,47.48,48.54,hybrid (tfidf)
284,CAND_0234,Candidate_234,mid,2,Chennai,41.5,0,23.6,53.5,0/8,,71.75,80,65.0,22.67,15.9,32.8,49.84,Tier-2,7.55,57.94,96.25,50.72,47.35,48.53,hybrid (tfidf)
285,CAND_0456,Candidate_456,junior,1,Kolkata,51.3,60,33.33,55.77,2/8,"ml, nlp",57.25,60,65.0,38.56,45.5,28.2,39.96,Tier-3,8.08,52.32,83.34,51.2,47.1,48.53,hybrid (tfidf)
286,CAND_0290,Candidate_290,junior,0,Kolkata,7.8,60,29.71,52.39,2/8,"ml, nlp",34.5,40,20.0,61.78,81.6,32.0,56.82,BITS,6.45,66.74,71.5,50.98,47.13,48.48,hybrid (tfidf)
287,CAND_0023,Candidate_23,junior,0,Hyderabad,59.9,30,26.46,52.39,1/8,python,34.5,40,20.0,58.95,94.4,5.7,78.72,IIT,7.91,64.87,64.57,51.26,46.96,48.46,hybrid (tfidf)
288,CAND_0135,Candidate_135,junior,2,Delhi,14.0,15,26.71,53.1,1/8,python,63.0,80,40.0,42.38,16.9,80.6,34.77,Tier-3,6.34,66.65,75.5,50.77,47.19,48.45,hybrid (tfidf)
289,CAND_0207,Candidate_207,mid,4,Hyderabad,19.9,60,23.6,53.5,0/8,,76.0,100,57.1,10.0,10.0,10.0,77.0,IIT,7.16,50.0,87.3,51.09,47.03,48.45,hybrid (tfidf)
290,CAND_0069,Candidate_69,mid,3,Chennai,35.7,15,22.91,51.54,0/8,,71.5,100,48.6,10.59,12.2,8.2,96.03,IIT,9.77,35.35,96.25,50.62,47.27,48.44,hybrid (tfidf)
291,CAND_0147,Candidate_147,fresher,0,Kolkata,20.2,30,29.95,53.08,2/8,"nlp, sql",34.5,40,20.0,60.55,73.4,41.2,51.41,Tier-3,9.65,50.21,96.25,50.62,47.26,48.44,hybrid (tfidf)
292,CAND_0494,Candidate_494,junior,0,Ahmedabad,47.5,15,23.64,51.29,1/8,python,34.5,40,20.0,57.75,34.3,92.9,75.48,IIT,7.98,50.08,96.25,50.6,47.26,48.43,hybrid (tfidf)
293,CAND_0188,Candidate_188,mid,4,Remote,52.8,0,23.59,51.16,1/8,nlp,84.9,100,74.0,17.19,9.7,28.4,53.35,NIT,6.66,51.67,78.54,50.65,47.21,48.41,hybrid (tfidf)
294,CAND_0363,Candidate_363,mid,2,Chennai,7.7,60,29.83,55.04,1/8,python,64.1,80,56.0,20.01,10.0,35.0,48.66,NIT,6.53,75.2,80.25,50.8,47.06,48.37,hybrid (tfidf)
295,CAND_0260,Candidate_260,junior,2,Delhi,55.2,0,20.45,51.47,0/8,,64.75,80,45.0,45.2,10.0,98.0,42.31,Tier-3,6.86,62.5,79.61,51.0,46.96,48.37,hybrid (tfidf)
296,CAND_0451,Candidate_451,senior,8,Ahmedabad,41.0,90,26.64,52.89,1/8,sql,87.5,95,80.0,7.38,10.0,3.4,53.83,BITS,6.04,55.8,75.25,50.68,47.06,48.33,hybrid (tfidf)
297,CAND_0235,Candidate_235,junior,1,Hyderabad,53.9,30,29.33,51.29,2/8,"ml, sql",50.25,60,45.0,48.26,77.1,5.0,59.1,Tier-2,8.82,41.88,83.77,50.75,47.02,48.32,hybrid (tfidf)
298,CAND_0464,Candidate_464,mid,2,Chennai,6.5,30,32.61,53.7,2/8,"python, sql",77.0,80,80.0,13.16,15.2,10.1,56.96,NIT,6.64,49.04,71.5,51.07,46.84,48.32,hybrid (tfidf)
299,CAND_0019,Candidate_19,senior,8,Delhi,48.4,15,29.62,54.46,1/8,ml,78.4,95,67.7,18.66,12.6,27.8,41.56,Tier-3,8.3,43.45,87.5,51.18,46.74,48.3,hybrid (tfidf)
300,CAND_0498,Candidate_498,mid,5,Ahmedabad,4.6,15,20.34,51.16,0/8,,84.35,100,66.0,19.89,13.3,29.7,67.97,BITS,6.95,46.24,71.5,50.99,46.81,48.27,hybrid (tfidf)
301,CAND_0450,Candidate_450,junior,1,Hyderabad,32.2,90,24.68,56.58,0/8,,48.5,60,40.0,43.98,66.1,10.8,60.98,Tier-3,9.42,71.0,75.25,51.09,46.71,48.25,hybrid (tfidf)
302,CAND_0376,Candidate_376,fresher,0,Ahmedabad,20.8,90,26.92,53.69,1/8,sql,34.5,40,20.0,40.0,10.0,85.0,96.03,IIT,9.77,77.5,66.5,50.77,46.87,48.23,hybrid (tfidf)
303,CAND_0004,Candidate_4,senior,6,Hyderabad,59.7,60,38.9,57.75,2/8,"nlp, sql",75.42,100,53.3,11.78,11.9,11.7,45.35,Tier-2,6.42,46.77,65.21,52.12,46.12,48.22,hybrid (tfidf)
304,CAND_0480,Candidate_480,junior,1,Mumbai,23.4,90,33.09,55.09,2/8,"python, sql",62.5,60,80.0,34.13,41.3,23.4,61.7,IIT,6.09,42.12,66.5,50.74,46.85,48.21,hybrid (tfidf)
305,CAND_0428,Candidate_428,senior,10,Ahmedabad,52.4,90,41.85,56.9,3/8,"python, ml, sql",76.31,85,64.4,7.96,4.5,13.1,45.46,Tier-3,8.32,43.8,67.57,51.37,46.46,48.18,hybrid (tfidf)
306,CAND_0196,Candidate_196,senior,5,Hyderabad,19.8,90,29.36,53.7,1/8,ml,83.65,100,64.0,13.75,1.7,31.8,30.36,Tier-3,6.25,63.83,74.85,51.06,46.59,48.15,hybrid (tfidf)
307,CAND_0315,Candidate_315,mid,5,Kolkata,37.0,15,23.89,52.02,1/8,sql,77.0,100,45.0,8.17,9.2,6.6,61.5,Tier-2,8.12,52.93,96.25,50.92,46.65,48.14,hybrid (tfidf)
308,CAND_0046,Candidate_46,senior,9,Chennai,29.6,90,32.84,56.68,1/8,nlp,81.0,90,64.3,6.57,10.0,1.4,40.24,Tier-3,7.09,60.0,75.25,51.33,46.4,48.13,hybrid (tfidf)
309,CAND_0172,Candidate_172,junior,1,Pune,30.6,90,17.5,50.0,0/8,,50.25,60,45.0,53.88,69.0,31.2,55.01,Tier-2,7.23,86.05,66.5,50.47,46.76,48.06,hybrid (tfidf)
310,CAND_0415,Candidate_415,mid,5,Kolkata,23.0,90,17.85,50.99,0/8,,83.65,100,64.0,22.57,16.2,32.2,88.02,IIT,9.7,33.34,66.5,50.72,46.61,48.05,hybrid (tfidf)
311,CAND_0176,Candidate_176,junior,2,Kolkata,50.2,0,23.81,51.77,1/8,python,71.75,80,65.0,26.33,36.4,11.2,47.15,Tier-2,7.18,46.15,95.61,50.83,46.56,48.05,hybrid (tfidf)
312,CAND_0308,Candidate_308,senior,12,Ahmedabad,22.5,0,35.79,53.5,3/8,"python, nlp, sql",64.7,75,55.7,18.07,9.6,30.8,52.21,Tier-3,9.76,43.01,87.5,50.89,46.5,48.03,hybrid (tfidf)
313,CAND_0224,Candidate_224,junior,1,Ahmedabad,10.5,0,23.19,50.0,1/8,ml,57.25,60,65.0,40.51,40.6,40.4,70.46,NIT,9.52,47.01,80.25,50.55,46.62,47.99,hybrid (tfidf)
314,CAND_0218,Candidate_218,senior,7,Chennai,41.2,30,32.8,54.24,2/8,"python, sql",80.04,100,63.3,12.69,15.3,8.8,36.97,Tier-3,7.67,31.41,96.25,51.2,46.2,47.95,hybrid (tfidf)
315,CAND_0324,Candidate_324,senior,7,Mumbai,11.9,60,35.17,54.05,2/8,"ml, nlp",78.88,100,60.0,10.17,11.5,8.1,52.48,NIT,6.54,41.33,71.5,51.07,46.27,47.95,hybrid (tfidf)
316,CAND_0054,Candidate_54,junior,2,Kolkata,43.0,30,17.5,50.0,0/8,,64.75,80,45.0,26.83,38.3,9.6,75.95,IIT,7.53,48.1,96.25,50.79,46.35,47.91,hybrid (tfidf)
317,CAND_0164,Candidate_164,mid,3,Kolkata,6.7,30,26.49,52.46,1/8,python,70.75,100,40.0,14.76,10.0,21.9,69.09,IIT,6.59,53.3,80.25,50.61,46.43,47.89,hybrid (tfidf)
318,CAND_0373,Candidate_373,junior,1,Hyderabad,54.6,15,30.19,53.77,2/8,"nlp, sql",62.5,60,80.0,34.5,37.1,30.6,40.64,Tier-3,6.63,54.75,72.78,51.24,45.83,47.73,hybrid (tfidf)
319,CAND_0011,Candidate_11,fresher,0,Mumbai,38.9,30,23.81,51.77,1/8,ml,34.5,40,20.0,57.18,72.2,34.6,61.1,Tier-2,8.58,54.88,96.25,50.36,46.25,47.69,hybrid (tfidf)
320,CAND_0375,Candidate_375,junior,1,Kolkata,48.8,60,29.0,52.67,1/8,ml,48.5,60,40.0,37.48,11.3,76.7,47.43,Tier-2,6.19,53.95,96.25,50.96,45.88,47.66,hybrid (tfidf)
321,CAND_0409,Candidate_409,junior,2,Bangalore,12.7,60,29.25,51.06,2/8,"python, ml",64.75,80,45.0,26.88,40.3,6.7,57.55,BITS,6.55,36.32,85.4,51.0,45.79,47.61,hybrid (tfidf)
322,CAND_0399,Candidate_399,junior,0,Remote,35.5,60,24.12,52.67,1/8,nlp,34.5,40,20.0,36.93,39.0,33.8,85.17,IIT,8.28,71.62,87.5,50.73,45.9,47.59,hybrid (tfidf)
323,CAND_0467,Candidate_467,fresher,0,Delhi,20.0,15,26.14,51.47,1/8,ml,34.5,40,20.0,41.41,2.3,100.0,88.38,IIT,8.72,45.25,96.25,50.63,45.87,47.54,hybrid (tfidf)
324,CAND_0028,Candidate_28,mid,5,Bangalore,11.1,0,32.77,54.16,2/8,"ml, sql",75.5,100,51.4,8.25,8.4,8.1,62.58,NIT,8.44,30.0,84.0,51.18,45.58,47.54,hybrid (tfidf)
325,CAND_0445,Candidate_445,junior,2,Pune,55.5,30,26.46,52.39,1/8,sql,65.15,80,59.0,17.5,10.0,28.8,63.6,Tier-3,9.78,67.85,69.9,51.2,45.56,47.53,hybrid (tfidf)
326,CAND_0257,Candidate_257,mid,4,Chennai,36.3,15,32.17,52.46,2/8,"ml, sql",81.4,100,64.0,5.12,6.4,3.2,38.15,Tier-2,6.46,38.4,96.25,50.71,45.76,47.49,hybrid (tfidf)
327,CAND_0052,Candidate_52,junior,2,Chennai,29.1,60,32.15,52.39,2/8,"python, ml",71.75,80,65.0,18.81,13.9,26.2,47.18,Tier-3,9.07,24.89,96.25,50.77,45.65,47.44,hybrid (tfidf)
328,CAND_0245,Candidate_245,junior,2,Delhi,53.6,0,29.33,51.29,2/8,"ml, sql",70.4,80,74.0,10.77,3.2,22.2,70.01,NIT,8.43,39.83,84.73,50.7,45.68,47.44,hybrid (tfidf)
329,CAND_0435,Candidate_435,junior,0,Remote,27.9,60,20.39,51.29,0/8,,34.5,40,20.0,42.0,10.0,90.0,76.09,IIT,7.55,72.5,96.25,50.43,45.75,47.39,hybrid (tfidf)
330,CAND_0419,Candidate_419,junior,2,Hyderabad,20.5,90,20.56,51.77,0/8,,84.0,80,100.0,20.69,10.0,36.7,61.18,Tier-2,8.59,44.35,66.5,50.71,45.58,47.37,hybrid (tfidf)
331,CAND_0316,Candidate_316,junior,0,Bangalore,55.1,0,32.4,53.1,2/8,"python, sql",34.5,40,20.0,45.52,9.2,100.0,58.19,Tier-2,8.18,57.83,83.68,50.86,45.47,47.36,hybrid (tfidf)
332,CAND_0191,Candidate_191,junior,1,Mumbai,45.3,90,24.27,53.08,1/8,sql,62.5,60,80.0,39.39,5.3,90.5,58.31,IIT,6.14,39.51,75.25,50.71,45.43,47.28,hybrid (tfidf)
333,CAND_0180,Candidate_180,junior,2,Delhi,6.0,15,26.39,52.18,1/8,sql,72.5,80,80.0,23.61,15.4,35.9,59.51,NIT,6.99,41.84,71.5,50.65,45.4,47.24,hybrid (tfidf)
334,CAND_0036,Candidate_36,mid,3,Hyderabad,54.6,60,20.84,52.58,0/8,,81.5,100,77.1,9.91,10.0,9.8,78.91,IIT,8.45,32.45,81.53,50.89,45.25,47.23,hybrid (tfidf)
335,CAND_0476,Candidate_476,fresher,0,Kolkata,47.5,90,27.41,55.09,1/8,python,34.5,40,20.0,36.7,35.3,38.8,88.08,IIT,8.68,62.61,75.25,51.14,45.01,47.16,hybrid (tfidf)
336,CAND_0455,Candidate_455,junior,1,Pune,6.3,60,27.49,55.33,1/8,python,57.25,60,65.0,20.4,12.3,32.5,87.22,BITS,9.59,39.03,80.25,50.84,45.16,47.15,hybrid (tfidf)
337,CAND_0463,Candidate_463,junior,1,Delhi,43.4,30,33.94,57.52,2/8,"python, ml",48.5,60,40.0,19.35,10.0,33.4,52.06,Tier-2,7.34,57.65,96.25,51.14,44.93,47.1,hybrid (tfidf)
338,CAND_0404,Candidate_404,mid,2,Ahmedabad,50.1,30,26.25,51.78,1/8,nlp,76.7,80,92.0,10.53,10.0,11.3,77.34,IIT,8.75,19.5,87.18,50.74,45.05,47.04,hybrid (tfidf)
339,CAND_0267,Candidate_267,junior,2,Remote,8.7,0,26.56,52.67,1/8,python,64.45,80,57.0,33.42,34.9,31.2,47.79,Tier-3,8.64,39.23,80.25,51.01,44.89,47.03,hybrid (tfidf)
340,CAND_0072,Candidate_72,junior,1,Chennai,25.7,15,28.01,56.82,1/8,nlp,48.5,60,40.0,18.2,12.7,26.5,64.24,Tier-2,9.01,64.42,96.25,51.11,44.84,47.03,hybrid (tfidf)
341,CAND_0047,Candidate_47,junior,2,Mumbai,21.6,60,32.25,52.67,2/8,"python, ml",71.75,80,65.0,11.37,15.5,5.2,46.81,Tier-2,6.62,40.22,87.5,50.86,44.96,47.02,hybrid (tfidf)
342,CAND_0462,Candidate_462,mid,2,Bangalore,55.9,60,17.5,50.0,0/8,,64.45,80,57.0,31.54,36.0,24.8,59.45,BITS,6.81,57.74,81.12,50.9,44.94,47.02,hybrid (tfidf)
343,CAND_0289,Candidate_289,senior,11,Ahmedabad,31.3,90,41.19,55.01,3/8,"python, ml, nlp",70.26,80,51.1,7.9,10.0,4.8,46.4,NIT,6.22,41.25,66.5,51.34,44.65,46.99,hybrid (tfidf)
344,CAND_0250,Candidate_250,junior,0,Chennai,13.1,90,36.31,57.32,2/8,"python, ml",34.5,40,20.0,35.12,39.5,28.6,63.96,NIT,7.6,81.74,52.7,51.28,44.64,46.97,hybrid (tfidf)
345,CAND_0236,Candidate_236,junior,1,Remote,18.5,90,24.12,52.67,1/8,nlp,48.5,60,40.0,18.14,9.5,31.1,93.77,IIT,9.46,70.18,72.25,50.67,44.79,46.85,hybrid (tfidf)
346,CAND_0367,Candidate_367,junior,2,Pune,15.2,60,17.5,50.0,0/8,,63.0,80,40.0,21.87,6.5,45.0,75.01,BITS,8.43,53.55,86.65,50.88,44.57,46.78,hybrid (tfidf)
347,CAND_0348,Candidate_348,junior,2,Delhi,27.5,60,21.23,53.69,0/8,,64.75,80,45.0,26.92,37.2,11.5,57.86,Tier-2,8.65,35.63,96.25,50.84,44.43,46.68,hybrid (tfidf)
348,CAND_0327,Candidate_327,junior,0,Pune,22.2,0,23.19,50.0,1/8,ml,34.5,40,20.0,46.0,10.0,100.0,66.03,NIT,7.37,53.75,96.25,50.63,44.43,46.6,hybrid (tfidf)
349,CAND_0096,Candidate_96,mid,5,Remote,9.3,90,23.94,54.46,0/8,,84.35,100,66.0,23.48,33.7,8.2,36.05,Tier-3,7.03,47.63,59.25,50.89,44.26,46.58,hybrid (tfidf)
350,CAND_0362,Candidate_362,junior,0,Delhi,51.4,90,26.24,51.77,1/8,ml,34.5,40,20.0,42.88,10.0,92.2,68.88,NIT,7.76,77.5,62.02,51.21,44.02,46.54,hybrid (tfidf)
351,CAND_0136,Candidate_136,junior,1,Pune,49.9,90,33.01,54.85,2/8,"python, nlp",69.5,60,100.0,32.12,36.1,26.1,32.81,Tier-3,7.1,23.1,75.25,50.97,44.09,46.5,hybrid (tfidf)
352,CAND_0318,Candidate_318,mid,2,Hyderabad,21.0,15,25.95,50.92,1/8,ml,64.75,80,45.0,17.61,10.0,29.1,42.8,Tier-2,6.07,49.3,96.25,50.96,44.03,46.46,hybrid (tfidf)
353,CAND_0232,Candidate_232,mid,3,Chennai,6.9,15,17.87,51.06,0/8,,84.05,100,78.0,7.37,9.5,4.2,63.0,Tier-2,8.84,46.12,80.25,50.8,44.12,46.46,hybrid (tfidf)
354,CAND_0272,Candidate_272,junior,0,Chennai,58.2,15,32.02,52.02,2/8,"ml, sql",34.5,40,20.0,58.35,90.1,10.8,46.15,Tier-3,7.9,55.66,61.26,50.89,44.01,46.42,hybrid (tfidf)
355,CAND_0444,Candidate_444,junior,1,Pune,10.2,0,17.5,50.0,0/8,,62.5,60,80.0,25.48,39.2,5.0,59.16,Tier-3,9.17,63.45,80.25,50.69,43.87,46.26,hybrid (tfidf)
356,CAND_0210,Candidate_210,junior,0,Mumbai,28.9,30,33.09,55.09,2/8,"python, nlp",34.5,40,20.0,19.97,10.0,34.9,83.71,IIT,8.08,43.95,96.25,51.11,43.5,46.17,hybrid (tfidf)
357,CAND_0058,Candidate_58,fresher,0,Mumbai,16.9,0,29.33,51.29,2/8,"ml, sql",34.5,40,20.0,34.72,33.1,37.1,71.5,IIT,6.92,49.67,90.05,50.6,43.76,46.15,hybrid (tfidf)
358,CAND_0307,Candidate_307,junior,1,Hyderabad,7.6,30,23.81,51.77,1/8,nlp,69.5,60,100.0,19.21,11.1,31.3,55.52,Tier-3,9.7,40.56,80.25,50.91,43.52,46.11,hybrid (tfidf)
359,CAND_0458,Candidate_458,junior,0,Kolkata,4.2,15,23.64,51.29,1/8,nlp,34.5,40,20.0,42.88,10.0,92.2,60.82,Tier-2,9.57,71.25,80.25,50.66,43.63,46.09,hybrid (tfidf)
360,CAND_0083,Candidate_83,junior,0,Remote,22.9,0,20.34,51.16,0/8,,34.5,40,20.0,51.74,63.3,34.4,62.35,IIT,6.18,48.08,96.25,50.59,43.67,46.09,hybrid (tfidf)
